文件名,反向传播显存峰值 (MB),max_memory_reserved (GB),max_memory_allocated (GB),策略后平均 epoch 时间 (s)
DuckDuckGeeseoursILP_bs8_12GB.log,11925.2,15.755859375,11.645014762878418,5.017705023288727
DuckDuckGeeseoursILP_bs8_14GB.log,13315.0,16.98828125,13.816892623901367,4.792056053876877
DuckDuckGeeseoursILP_bs8_16GB.log,14822.73,19.326171875,15.492506980895996,4.653213083744049
DuckDuckGeeseoursILP_bs8_18GB.log,16224.02,19.8984375,17.979527473449707,4.433112382888794
MotorImageryoursILP_bs2_7GB.log,,15.2421875,4.562768459320068,
MotorImageryoursILP_bs2_8GB.log,8314.41,16.318359375,8.1193528175354,131.96440106630325
MotorImageryoursILP_bs2_9GB.log,9331.02,17.388671875,9.111559391021729,128.80310720205307
MotorImageryoursILP_bs2_10GB.log,9979.17,17.388671875,9.744194507598877,125.73210826516151
MotorImageryoursILP_bs2_11GB.log,10304.96,18.4609375,10.29784107208252,124.66890034079552
MotorImageryoursILP_bs2_12GB.log,11880.81,20.580078125,11.601743698120117,123.42639264464378
MotorImageryoursILP_bs2_13GB.log,12209.53,19.505859375,11.981194019317627,122.43192309141159
MotorImageryoursILP_bs2_14GB.log,12785.2,19.5078125,12.719340801239014,119.5548729300499
MotorImageryoursILP_bs2_15GB.log,13769.2,19.5078125,13.504688739776611,116.24155807495117
MotorImageryoursILP_bs2_16GB.log,14332.28,20.580078125,14.054534435272217,114.70763674378395
MotorImageryoursILP_bs2_17GB.log,14794.14,19.537109375,15.505326271057129,113.34361860156059
MotorImageryoursILP_bs2_18GB.log,15449.95,21.1171875,15.472856044769287,111.9608881175518
MotorImageryoursILP_bs2_19GB.log,15254.22,22.798828125,16.642951488494873,109.84068188071251
MotorImageryoursILP_bs2_20GB.log,15786.96,21.654296875,17.631744384765625,108.96770310401917
MotorImageryoursILP_bs2_21GB.log,16275.15,21.5078125,18.639258861541748,107.57808268070221
MotorImageryoursILP_bs2_22GB.log,16801.24,22.326171875,18.97868061065674,106.0194180905819
MotorImageryoursILP_bs2_23GB.log,17287.76,23.26171875,19.850545406341553,104.71587535738945
PEMS-SFoursILP_bs32_10GB.log,9681.1,12.12109375,9.700955390930176,7.05597198009491
PEMS-SFoursILP_bs32_12GB.log,11725.07,14.931640625,11.451549053192139,6.935090482234955
PEMS-SFoursILP_bs32_14GB.log,12939.88,16.5546875,13.573912143707275,6.580593913793564
PEMS-SFoursILP_bs32_16GB.log,14039.83,17.51953125,15.719191074371338,6.299333870410919
PEMS-SFoursILP_bs32_18GB.log,18330.6,19.7734375,17.90009880065918,6.056650906801224
,,,,
Algorithm: cricket_logs_monet,,,,
Cricketmonet_bs64_8GB.log,6611.16,8.46484375,6.651513576507568,0.48748862743377686
Cricketmonet_bs64_9GB.log,7097.4,8.8984375,7.338597774505615,0.4716455638408661
Cricketmonet_bs64_10GB.log,7447.94,8.9609375,7.8187174797058105,0.457836776971817
Cricketmonet_bs64_11GB.log,8147.51,11.599609375,8.808616638183594,0.462198942899704
Cricketmonet_bs64_12GB.log,8315.59,11.59765625,9.46809434890747,0.4373038411140442
Cricketmonet_bsvariable_56bs.log,9428.25,13.16015625,11.870485782623291,0.36448124051094055
Cricketmonet_bsvariable_60bs.log,10095.41,14.10546875,12.711657524108887,0.3936616778373718
Cricketmonet_bsvariable_64bs.log,10577.92,14.419921875,13.18478012084961,0.40198811888694763
Cricketmonet_bsvariable_68bs.log,10403.47,13.595703125,12.73331356048584,0.4427807033061981
Cricketmonet_bsvariable_72bs.log,10565.44,13.13671875,12.60132646560669,0.4776570796966553
DuckDuckGeesemonet_bs8_10GB.log,9189.76,11.888671875,9.08454942703247,5.446029543876648
DuckDuckGeesemonet_bs8_12GB.log,10633.57,12.625,10.729121685028076,5.282821238040924
DuckDuckGeesemonet_bs8_14GB.log,12890.69,14.689453125,13.16863489151001,5.0125188529491425
DuckDuckGeesemonet_bs8_16GB.log,13745.42,17.263671875,14.773569583892822,4.73417329788208
DuckDuckGeesemonet_bs8_18GB.log,14378.26,17.4921875,16.008682250976562,4.581077456474304
MotorImagerymonet_bs2_7GB.log,,15.2421875,4.562768459320068,
MotorImagerymonet_bs2_8GB.log,,15.2421875,4.562768459320068,
MotorImagerymonet_bs2_9GB.log,,15.2421875,4.562768459320068,
MotorImagerymonet_bs2_10GB.log,,15.2421875,4.562768459320068,
MotorImagerymonet_bs2_11GB.log,,15.2421875,4.562768459320068,
MotorImagerymonet_bs2_12GB.log,12315.36,18.4609375,12.02678918838501,125.92286348342896
MotorImagerymonet_bs2_13GB.log,13028.34,18.462890625,13.238312244415283,122.90495777130127
